Taxon,SiteId,lon,lat,FA,EUROMED,Cover
Primula hirsuta,ONF_410495,6.18534253798,44.7019360801,600010190,28884,0
Primula hirsuta,CBNA_410666,6.1743163385,44.787215518,600010190,28884,0
Primula hirsuta,CBNA_449531,6.11788406314,44.8782223631,600010190,28884,0
Primula hirsuta,CBNA_449545,6.17111158743,44.8610404119,600010190,28884,0
Primula hirsuta,CBNA_411068,5.9551949871,44.7333533527,600010190,28884,0
Primula hirsuta,CBNA_411071,5.96331364527,44.7305552018,600010190,28884,0
Primula hirsuta,CBNA_411079,5.95646444337,44.7297067393,600010190,28884,0
Primula hirsuta,CBNA_411080,5.95660806673,44.7299866966,600010190,28884,0
Primula hirsuta,CBNA_411087,5.95273764318,44.7335405358,600010190,28884,0
Primula hirsuta,RESBO_496233,5.86322722301,45.0443764377,600010190,28884,0
Primula hirsuta,CBNA_449561,6.17325325556,44.8677822321,600010190,28884,0
Primula hirsuta,CBNA_449568,6.17505405071,44.8712944494,600010190,28884,0
Primula hirsuta,CBNA_439241,5.93379711287,45.1720745084,600010190,28884,0
Primula hirsuta,CBNA_439248,5.93486809741,45.1681673848,600010190,28884,0
Primula hirsuta,CBNA_439262,5.9448495054,45.1656472796,600010190,28884,0
Primula hirsuta,CBNA_439272,5.94086196555,45.1702396283,600010190,28884,0
Primula hirsuta,CBNA_647926,6.19428551299,45.3180420756,600010190,28884,0
Primula hirsuta,CBNA_439341,5.98455011168,45.2102760725,600010190,28884,0
Primula hirsuta,CBNA_439347,5.98529667497,45.2061562683,600010190,28884,0
Primula hirsuta,CBNA_439348,5.98564797806,45.2058134804,600010190,28884,0
Primula hirsuta,CBNA_439428,6.01690570074,45.21943102,600010190,28884,0
Primula hirsuta,CBNA_439436,6.02344926589,45.2203939194,600010190,28884,0
Primula hirsuta,CBNA_439594,6.07057539213,45.2287543934,600010190,28884,0
Primula hirsuta,CBNA_439608,6.0785855786,45.2215547958,600010190,28884,0
Primula hirsuta,CBNA_439638,6.07926983294,45.2610542229,600010190,28884,0
Primula hirsuta,RESBO_496321,5.93687790948,44.8935468893,600010190,28884,0
Primula hirsuta,CBNA_439770,5.91516725907,45.0506464705,600010190,28884,0
Primula hirsuta,CBNA_439771,5.91660815167,45.0508565115,600010190,28884,0
Primula hirsuta,CBNA_439948,5.91595139008,44.978262732,600010190,28884,0
Primula hirsuta,PNE_570884,6.18060884256,44.6972563014,600010190,28884,1
Primula hirsuta,RESBO_647392,5.95480594101,44.9969374878,600010190,28884,0
Primula hirsuta,RESBO_647391,5.95618299571,44.9988020216,600010190,28884,0
Primula hirsuta,RESBO_647384,5.83774895134,44.9528924953,600010190,28884,0
Primula pedemontana,DELTH_496993,7.05497743863,45.3599863005,600010230,29063,0
Primula hirsuta,DELTH_497010,6.67039375869,45.2932034768,600010190,28884,0
Primula pedemontana,DELTH_496922,6.94400426475,45.2067201944,600010230,29063,0
Primula pedemontana,DELTH_496940,6.86111071989,45.2216581064,600010230,29063,0
Primula hirsuta,CBNA_1298375,5.95159008485,45.1812779677,600010190,28884,0
