Species,Locality,Code,Morph,Collector,Date,Latitude,Longitude,Reads raw,Reads trimmed,Voucher
P. wulfeniana,"Mount Raduha, Slovenia",WB1',Short-styled,F. Boucher,04/06/14,14.7394,46.4106,6165137,5737256,Photo
P. wulfeniana,"Mount Raduha, Slovenia",WB2,Short-styled,F. Boucher,04/06/14,14.7394,46.4106,6734031,6303959,Photo
P. wulfeniana,"Mount Raduha, Slovenia",WL2,Long-styled,F. Boucher,04/06/14,14.7394,46.4106,4859350,4507737,Photo
P. x crucis,"Vallon de Mollières, France",XC2,NA,F. Boucher/J.-L. Polidori,31/07/14,7.1526,44.1442,5797534,5232744,Photo
P. x crucis,"Vallon de Mollières, France",XCC,NA,F. Boucher/J.-L. Polidori,31/07/14,7.1529,44.1516,3809938,3337031,Photo
Dodecatheon pulchellum,"Living collection, 20060966, OG172",DRW,NA,F. Boucher,NA,NA,NA,726805,698059,NA
P. cuneifolia ssp. saxifragifolia,"Herb. Telequana Highlands, n°237",PC1,NA,NA,02/07/98,NA,NA,1800355,1732030,NA
P. suffructescens,"RBG Kew 1988-88 017-88.00088, n°240",PS1,NA,L. Hufford,04/1995,NA,NA,1617313,1546552,NA
P. parryi,Collection: 20041885 SOU 172,OP1,NA,NA,NA,NA,NA,2422722,2290756,NA
P. rusbyi,Collection: 20041890 SOU 172,OR2,NA,NA,NA,NA,NA,3220634,2914409,NA
